original_plot_filename	embedded_sha256	local_candidate	local_sha256	byte_identical	status	embedded_page_count	embedded_page_sizes	local_page_count	local_page_sizes	text_similarity	render_mean_absolute_difference	render_changed_pixel_fraction	metadata_differences
Genome_landscape_exposed.pdf	e3decd7e7a232fe8c460642586be098e7dc06741dcca328b215b457f6936981b	biowulf/Genome_landscape_exposed.pdf	e3decd7e7a232fe8c460642586be098e7dc06741dcca328b215b457f6936981b	True	byte-identical	1	[[0.0, 0.0, 432.0, 273.0]]	1	[[0.0, 0.0, 432.0, 273.0]]	unavailable: both PDFs have no extractable text			{}
SV_circos_plot_exposed.pdf	c83e8f954c3d6377734643d7ed0465f6f01d0be8a9057d9b5b01796c680c0980	biowulf/Meerkat/SV_circos_plot_exposed.pdf	c83e8f954c3d6377734643d7ed0465f6f01d0be8a9057d9b5b01796c680c0980	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
intogene_drivers3.pdf	dd97d2640aa9b4bd22aedfb401d38c24cbcb678a86089357853811dae38868bc	biowulf/intogene_drivers3.pdf	dd97d2640aa9b4bd22aedfb401d38c24cbcb678a86089357853811dae38868bc	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	1.0			{}
ALL_Tumor_Recurrent_p1_combined.pdf	ea407d44a7079b006caa59773877354a05c67702d1be313c1351fde540890a75	biowulf/ALL_Tumor_Recurrent_p1_combined.pdf	ea407d44a7079b006caa59773877354a05c67702d1be313c1351fde540890a75	True	byte-identical	1	[[0.0, 0.0, 609.8870239257812, 343.6549987792969]]	1	[[0.0, 0.0, 609.8870239257812, 343.6549987792969]]	1.0			{}
SV_circos_plot_thca.pdf	c1c437e7f52568cfb3c503fa28f45dadf0297dcde53bb5962f4c79fbb5c1b0be	biowulf/Meerkat/SV_circos_plot_thca.pdf	c1c437e7f52568cfb3c503fa28f45dadf0297dcde53bb5962f4c79fbb5c1b0be	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
SV_circos_plot_unexposed.pdf	006a619a19938f9f0160426e5c2299124d470da42a3587a2e3e8ff808bab03b4	biowulf/Meerkat/SV_circos_plot_unexposed.pdf	006a619a19938f9f0160426e5c2299124d470da42a3587a2e3e8ff808bab03b4	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
Genome_landscape_tcga.pdf	482d6e76f5c86828276d575e34dfb2c3e609f6d9ba367b34501533a4fb730587	biowulf/Genome_landscape_tcga.pdf	482d6e76f5c86828276d575e34dfb2c3e609f6d9ba367b34501533a4fb730587	True	byte-identical	1	[[0.0, 0.0, 720.0, 302.0]]	1	[[0.0, 0.0, 720.0, 302.0]]	unavailable: both PDFs have no extractable text			{}
Genome_landscape_chornobyl_unexposed.pdf	efca564b9884e219ba3f027a6bd684efa7dc6a5800faff8793fa1126031b2403	biowulf/Genome_landscape_chornobyl_unexposed.pdf	efca564b9884e219ba3f027a6bd684efa7dc6a5800faff8793fa1126031b2403	True	byte-identical	1	[[0.0, 0.0, 216.0, 216.0]]	1	[[0.0, 0.0, 216.0, 216.0]]	unavailable: both PDFs have no extractable text			{}
study2_overview.pdf	d6bc533d53ae2e124b4ac9594c87f386cbe957129c63c680030dd25e26047ab1				no exact-basename file in biowulf	1	[[0.0, 0.0, 345.85699462890625, 296.5740051269531]]						""
chr22q_del_clonality_alterations.pdf	7f1fbc220c97ca372f1650385e084858cbc927bc2f3982a65f61fca42035ff9f	biowulf/chr22q_del_clonality_alterations.pdf	3914c7dd47f73f74c61ceca64efb0f4b37b073456490043374cb02ac5bb13dde	False	same basename, different bytes	1	[[0.0, 0.0, 540.0, 360.0]]	1	[[0.0, 0.0, 576.0, 432.0]]	unavailable: both PDFs have no extractable text	9.205679166666666	0.07113020833333333	"{""creationDate"": [""D:20260904235247"", ""D:20260225152017""], ""modDate"": [""D:20260904235247"", ""D:20260225152017""]}"
heatmap_all_segements_chr22qdel.pdf	b079e5bceab288718512b402059ccf50f3155eecae66d5509115ce9d859c1c00	biowulf/heatmap_all_segements_chr22qdel.pdf	b079e5bceab288718512b402059ccf50f3155eecae66d5509115ce9d859c1c00	True	byte-identical	1	[[0.0, 0.0, 214.2899932861328, 411.2430114746094]]	1	[[0.0, 0.0, 214.2899932861328, 411.2430114746094]]	1.0			{}
TP_SCNA_Freq.pdf	5c2c92c1ba4c6f4c4eee7f19997b521b15d1cc38b6131c2ee024d6924b31c148	biowulf/TP_SCNA_Freq.pdf	96d0f40b98a7bf5d28e21bec566a02e804e635693a76ce609e0282d40a4be0a3	False	same basename, different bytes	1	[[0.0, 0.0, 576.0, 290.85400390625]]	1	[[0.0, 0.0, 576.0, 290.85400390625]]	0.9748743718592965	0.5708800880088009	0.0037197469746974698	"{""creator"": [""Adobe Illustrator 30.5 (Macintosh)"", ""Adobe Illustrator 30.2 (Macintosh)""], ""modDate"": [""D:20260602165719-04'00'"", ""D:20260225143459-05'00'""]}"
TP_chr22q_del_subclone_frac.pdf	2fab80b7ac1d8cd0bfa7f56d366807165191e103e5a51fee4b87c27bdb6bf38c	biowulf/TP_chr22q_del_subclone_frac.pdf	2fab80b7ac1d8cd0bfa7f56d366807165191e103e5a51fee4b87c27bdb6bf38c	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
drivers_number_subclones.pdf	ba02569e5a10be4ef00307b347ebfa15354d3703410c7e1c5284be71123afcea				no exact-basename file in biowulf	1	[[0.0, 0.0, 432.0, 432.0]]						""
tp_tumor_hetrogenerity_math_ccf_drivers2_all.pdf	6ac06b654b9c04c049eae23ac437493597a5cdc94a38ad1d560ff9cb8cdd092b				no exact-basename file in biowulf	1	[[0.0, 0.0, 561.0, 360.0]]						""
NRPCC_threshold.pdf	5f88bb237f92568492a097674a11bd04e514724493f5424c8e53c624cd8d485b				no exact-basename file in biowulf	1	[[0.0, 0.0, 446.0, 360.0]]						""
tp_tumor_hetrogenerity_math_ccf2.pdf	bf539bd79b91790a151a6a0ec964fb299421da6a0799f072c8b6c026faf70753				no exact-basename file in biowulf	1	[[0.0, 0.0, 360.0, 216.0]]						""
tp_tumor_hetrogenerity_math_ccf_drivers_all.pdf	cda7250b7ee0f4ad033a94c92a4f719f3dac128555c6f7b59674426114ddbbd6				no exact-basename file in biowulf	1	[[0.0, 0.0, 360.0, 216.0]]						""
TP_mutation_cluster_distribution.pdf	370ac14ecd84d30b51042783fe623ab57c0b3fbdd43699305bb01fb91d0e65aa	biowulf/TP_mutation_cluster_distribution.pdf	ad1437935054275963c2348c1c98afe502d08cfc2b32bb4ef70af7eb9982bd17	False	same basename, different bytes	1	[[0.0, 0.0, 432.0, 288.0]]	1	[[0.0, 0.0, 432.0, 288.0]]	unavailable: both PDFs have no extractable text	0.0	0.0	"{""creationDate"": [""D:20260227123007-05'00"", ""D:20260227145340-05'00""]}"
TP_mutation_cluster_clonality.pdf	b11972b079d7e32c0f87e3c4c41792e6bc92904fe837a29ffb86c585f9394b22	biowulf/TP_mutation_cluster_clonality.pdf	b11972b079d7e32c0f87e3c4c41792e6bc92904fe837a29ffb86c585f9394b22	True	byte-identical	1	[[0.0, 0.0, 864.0, 432.0]]	1	[[0.0, 0.0, 864.0, 432.0]]	unavailable: both PDFs have no extractable text			{}
