manuscript_id	figure_id	panel_id	legend_paragraph_id	legend_snippet	source_docx_sha256
Fig. 1a	Fig. 1	a	p0142	a, Age at diagnosis, tumor sequencing depth and tumor purity across TCGA-THCA (n = 455), Chornobyl-unexposed (n = 70) and Chornobyl-exposed (n = 283) tumors. Box plots show the median (center line), interquartile range (box) and whiskers extending to 1.5× the interquartile range.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1b	Fig. 1	b	p0142	b, Cohort-specific mutation frequencies of driver genes identified by IntOGen, coloured by predicted mode of action (activating, ambiguous or loss of function).	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1c	Fig. 1	c	p0142	c, Structural-variant breakpoint density per sample in 5-Mb genomic windows across the three cohorts. Recurrent peaks overlapping major kinase genes are labelled.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1d	Fig. 1	d	p0142	d–f, Circos plots showing structural variants in TCGA-THCA (d), Chornobyl-unexposed (e) and Chornobyl-exposed (f) tumors.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1e	Fig. 1	e	p0142	d–f, Circos plots showing structural variants in TCGA-THCA (d), Chornobyl-unexposed (e) and Chornobyl-exposed (f) tumors.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1f	Fig. 1	f	p0142	d–f, Circos plots showing structural variants in TCGA-THCA (d), Chornobyl-unexposed (e) and Chornobyl-exposed (f) tumors.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1g	Fig. 1	g	p0142	g–i, Integrated genomic profiles of driver mutations, oncogenic fusions, TERT-promoter mutations and clonal or subclonal 22q loss in TCGA-THCA (g), Chornobyl-exposed (h) and Chornobyl-unexposed (i) tumors. Bars above each oncoprint indicate sample-level mutation burden; percentages at right indicate cohort-specific frequencies of individual alterations.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1h	Fig. 1	h	p0142	g–i, Integrated genomic profiles of driver mutations, oncogenic fusions, TERT-promoter mutations and clonal or subclonal 22q loss in TCGA-THCA (g), Chornobyl-exposed (h) and Chornobyl-unexposed (i) tumors. Bars above each oncoprint indicate sample-level mutation burden; percentages at right indicate cohort-specific frequencies of individual alterations.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 1i	Fig. 1	i	p0142	g–i, Integrated genomic profiles of driver mutations, oncogenic fusions, TERT-promoter mutations and clonal or subclonal 22q loss in TCGA-THCA (g), Chornobyl-exposed (h) and Chornobyl-unexposed (i) tumors. Bars above each oncoprint indicate sample-level mutation burden; percentages at right indicate cohort-specific frequencies of individual alterations.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 2a	Fig. 2	a	p0143	a, Genome-wide frequencies of clonal (top) and subclonal (bottom) somatic copy-number gains, losses, amplifications and homozygous deletions inferred using Battenberg. Chromosome boundaries are indicated.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 2b	Fig. 2	b	p0143	b, Copy-number states across chromosome 22q in tumors with clonal or subclonal 22q loss, grouped by cohort.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 2c	Fig. 2	c	p0143	c, Estimated cancer cell fraction (CCF) of subclonal 22q loss across the three cohorts. Points represent individual tumors. Box plots show the median (center line), interquartile range (box) and whiskers extending to 1.5× the interquartile range.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 2d	Fig. 2	d	p0143	d, Associations of clonal (left) and subclonal (right) 22q loss with recurrent mutations and oncogenic fusions. The x axes show log2 odds ratios and the y axes show −log10(FDR) from two-sided Fisher’s exact tests. Events with FDR < 0.05 are labelled.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 3a	Fig. 3	a	p0144	a, Ridgeline distributions of MATH scores across the three cohorts; vertical lines indicate cohort medians.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 3b	Fig. 3	b	p0144	b, Associations of recurrent genomic alterations with MATH score in the combined cohort. The x axis shows the log2 fold change in MATH between alteration-positive and alteration-negative tumors, and the y axis shows −log10(FDR). The horizontal dotted line denotes FDR = 0.05.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 3c	Fig. 3	c	p0144	c, MATH score distributions stratified by TERT-promoter mutation, BRAF mutation, KRAS mutation and clonal 22q-loss status.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 3d	Fig. 3	d	p0144	d, Minimum CCF of detected mutation clusters as a function of the number of reads per tumor chromosomal copy (NRPCC). Each point represents one tumor and colour indicates the number of inferred subclones; marginal CCF distributions are shown at right.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 3e	Fig. 3	e	p0144	e, Distribution of the number of detected subclones across major genomic alteration groups. Counts are shown within bars.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
