inventory_id	figure_id	panel_id	manuscript_figure_panel_id	canonical_figure_panel_id	keynote_slide	keynote_object_id	keynote_data_id	original_plot_filename	keynote_package_file	embedded_sha256	object_geometry_xywh	panel_label_object_id	panel_label_xy	plot_region	mapping_confidence	asset_type	evidence_file	notes
ms001	Fig. 1	a	Fig. 1a	Figure 1A	2	1293023	12737	study2_overview.pdf	study2_overview-12737.pdf	d6bc533d53ae2e124b4ac9594c87f386cbe957129c63c680030dd25e26047ab1	94.39830780029297;44.27934646606445;175.1668701171875;150.0	38961	43.10264587402344;59.09513473510742	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms002	Fig. 1	b	Fig. 1b	Figure 1B	2	1283038	12463	intogene_drivers3.pdf	intogene_drivers3-12463.pdf	dd97d2640aa9b4bd22aedfb401d38c24cbcb678a86089357853811dae38868bc	343.0875244140625;40.56496810913086;157.47378540039062;157.4287567138672	38954	313.7091369628906;59.09513473510742	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms003	Fig. 1	c	Fig. 1c	Figure 1C	2	1283987	12498	ALL_Tumor_Recurrent_p1_combined.pdf	ALL_Tumor_Recurrent_p1_combined-12498.pdf	ea407d44a7079b006caa59773877354a05c67702d1be313c1351fde540890a75	43.565372467041016;236.0084991455078;345.291748046875;195.7401580810547	38950	43.10264587402344;209.07513427734375	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms004	Fig. 1	d	Fig. 1d	Figure 1D	2	1332655	12506	SV_circos_plot_thca.pdf	SV_circos_plot_thca-12506.pdf	c1c437e7f52568cfb3c503fa28f45dadf0297dcde53bb5962f4c79fbb5c1b0be	396.56414794921875;206.9405059814453;120.0101318359375;120.0101318359375	52673	396.56414794921875;215.645263671875	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms005	Fig. 1	e	Fig. 1e	Figure 1E	2	1332654	12509	SV_circos_plot_unexposed.pdf	SV_circos_plot_unexposed-12509.pdf	006a619a19938f9f0160426e5c2299124d470da42a3587a2e3e8ff808bab03b4	474.9120788574219;275.0118408203125;120.0101318359375;120.0101318359375	932810	465.6953125;321.99346923828125	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms006	Fig. 1	f	Fig. 1f	Figure 1F	2	1332658	12512	SV_circos_plot_exposed.pdf	SV_circos_plot_exposed-12512.pdf	c83e8f954c3d6377734643d7ed0465f6f01d0be8a9057d9b5b01796c680c0980	396.56414794921875;350.03515625;120.0101318359375;120.0101318359375	440460	396.56414794921875;356.6549377441406	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms007	Fig. 1	g	Fig. 1g	Figure 1G	2	1284253	12524	Genome_landscape_tcga.pdf	Genome_landscape_tcga-12524.pdf	482d6e76f5c86828276d575e34dfb2c3e609f6d9ba367b34501533a4fb730587	44.45938491821289;438.59326171875;368.4716491699219;154.55337524414062	1311822	48.06636428833008;455.68280029296875	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms008	Fig. 1	h	Fig. 1h	Figure 1H	2	1284252	12521	Genome_landscape_exposed.pdf	Genome_landscape_exposed-12521.pdf	e3decd7e7a232fe8c460642586be098e7dc06741dcca328b215b457f6936981b	40.79111099243164;613.658935546875;237.3626251220703;150.0	1220114	48.06636428833008;629.7743530273438	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms009	Fig. 1	i	Fig. 1i	Figure 1I	2	1284251	12527	Genome_landscape_chornobyl_unexposed.pdf	Genome_landscape_chornobyl_unexposed-12527.pdf	efca564b9884e219ba3f027a6bd684efa7dc6a5800faff8793fa1126031b2403	278.9226379394531;613.658935546875;150.0;150.0	1311938	272.04827880859375;629.7743530273438	entire imported object	High	imported PDF	Private native Keynote PDF page 2; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
ms010	Fig. 2	a	Fig. 2a	Figure 2A	3	1283562	12483	TP_SCNA_Freq.pdf	TP_SCNA_Freq-12483.pdf	5c2c92c1ba4c6f4c4eee7f19997b521b15d1cc38b6131c2ee024d6924b31c148	53.985416412353516;83.56145477294922;407.5740661621094;207.01829528808594	878221	45.58461380004883;76.18800354003906	entire imported object	High	imported PDF	Private native Keynote PDF page 3; keynote_media_objects.tsv; keynote_native_objects.tsv; original Keynote Index/Document.iwa and Index/Metadata.iwa	Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
