figure_id	panel_id	manuscript_id	keynote_slide	keynote_object_id	keynote_data_id	original_plot_filename	embedded_sha256	plot_region	source_script	source_code_location	source_script_sha256	input_files	input_objects	dependencies	upstream_scripts	important_parameters	cleaned_script	cleaned_code_location	output_file	reproducibility_status	mapping_confidence	code_confidence	local_original_match	local_original_sha256	validation_notes	notes
Fig. 1	a	Fig. 1a	2	1293023	12737	study2_overview.pdf	d6bc533d53ae2e124b4ac9594c87f386cbe957129c63c680030dd25e26047ab1	entire imported object	TP_Comparision.R	60-90 age;97-117 sequencing depth;126-145 purity	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	wgsdata_tp.RData;wgs_clinical.RData;wgs_metrics.RData;ngspurity_data.RData	wgsdata;wgs_clinical;wgs_metrics;ngspurity;study_color2	dplyr;tidyr;ggplot2;ggbeeswarm;rstatix;ggpubr;scales;rlang;hrbrthemes;cowplot;Roboto Condensed;Sherlock_functions.R:163-474 plot_group_compare	WGS_data_prepare.R:64-84 cohort;131-146 coverage;249-280 purity;553-602 clinical	Study2 three cohorts;MEDIAN_COVERAGE;BB_Purity;BH-adjusted Wilcoxon via helper;helper seed=1	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1a_related_age.pdf;Rscripts/Figures/Fig1a_related_depth.pdf;Rscripts/Figures/Fig1a_related_purity.pdf	source code partially identified	High	Medium	no exact-basename file in biowulf		Related age/depth/purity source blocks ran. Final study2_overview.pdf generator not recovered; no final composite claim.	Exact Keynote filename from slide 2; component relationship follows manuscript legend, not an exact export match. No export or variable trace for study2_overview.pdf in any biowulf R/Rmd. Related component code contains both tumor and normal depth; final composite requires layout/cropping evidence. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	c	Fig. 1c	2	1283987	12498	ALL_Tumor_Recurrent_p1_combined.pdf	ea407d44a7079b006caa59773877354a05c67702d1be313c1351fde540890a75	entire imported object	Recurrent_SV_Plot.R	13-21;46-117;129	6b610e9e45f46a1d723a0506213b6de475b0697e3ba475d84008a43b15d88bef	wgsdata_tp.RData;1170_manta_meerkat_union_window50_highquality.txt;Homo_sapiens_assembly38.fasta.fai	wgsdata;study_color2;svdata;data1d	tidyverse;valr;ggsci;hrbrthemes;cowplot;ggrepel;grid;scales;Roboto Condensed	WGS_data_prepare.R:64-84;WGS_data_prepare.R:546-550	hg38 FAI;chr1-22/X/Y;5,000,000bp bins;both breakends;divide by cohort sample count;historical y limit0.5	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1c_related_TCGA_THCA.pdf;Rscripts/Figures/Fig1c_related_Chornobyl_Unexposed.pdf;Rscripts/Figures/Fig1c_related_Chornobyl_Exposed.pdf	source code partially identified	High	Medium	byte-identical	ea407d44a7079b006caa59773877354a05c67702d1be313c1351fde540890a75	Recovered per-cohort 5Mb breakpoint-density method ran. Final combined panel generator and hotspot annotations not recovered; historical y-limit0.5 retained and clipping warnings recorded.	"Dynamic exact per-cohort filename expression paste0(studyid,""_Recurrent_p1.pdf"") verified line129; no expression creates the final _combined file. Combined export and gene hotspot label code absent. Code fixes studyid=names(study_color2)[3]; historical per-cohort filenames require explicitly iterating cohort values. Combined manuscript panel cannot be claimed from absent assembly code. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF."
Fig. 2	a	Fig. 2a	3	1283562	12483	TP_SCNA_Freq.pdf	5c2c92c1ba4c6f4c4eee7f19997b521b15d1cc38b6131c2ee024d6924b31c148	entire imported object	TP_bb_heatmap_freq.R	21-335 (active CN state55;both plot assignments331-333)	e1a55e687590cbe1b3ed0ff6416a02948d02555b5892924f26fa863da3072f04	wgsdata_tp.RData;ngspurity_data.RData;cytoBand.txt.gz	wgsdata;ngspurity;BBprofile	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed;CNTools;valr;conflicted	WGS_data_prepare.R:249-280 Battenberg/NGSpurity consolidation	autosomes;1Mb bins;clone/subclone determined by larger/smaller frac_A;baseline2 or4 for WGD;relative-copy cap±4;amplification>=4;homozygous deletion sentinel-4;CNTools mean over bins;exclude chr21 frequencies>|0.05|	Rscripts/Fig2.R	Rscripts/Fig2.R:37 (run_Fig2)	Rscripts/Figures/Fig2a_state_reconstruction.pdf	source code partially identified	High	High	same basename, different bytes	96d0f40b98a7bf5d28e21bec566a02e804e635693a76ce609e0282d40a4be0a3	Explicit clone/subclone state reconstruction ran and major chromosome frequency pattern corresponds. Saved source assigned same plot to both rows; final Illustrator-edited output differs, so final generator not verified. Original chr21 exclusion and CN bin rules retained.	Do not silently repair two-state methodology. Record chr21 frequency filtering (306-308) and centromere treatment (224-234) as original scientific decisions. Saved script assigns p_freq_clone<-p_freq and p_freq_subclone<-p_freq without recomputing state, producing identical rows in sequential replay. Clone/subclone switch appears only as commented line56. Reproduction of manuscript two-state panel blocked until historical execution state recovered. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 2	d	Fig. 2d	3	1353120	13409	chr22q_del_clonality_alterations.pdf	7f1fbc220c97ca372f1650385e084858cbc927bc2f3982a65f61fca42035ff9f	entire imported object	TP_bb_heatmap_freq.R	21-42;344-395;439-511	e1a55e687590cbe1b3ed0ff6416a02948d02555b5892924f26fa863da3072f04	wgsdata_tp.RData;ngspurity_data.RData;Genome_landscape_manual_final.RData	wgsdata;ngspurity;BBprofile;data_top0	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed	WGS_data_prepare.R:249-280;Recalling.R:36-95	Two-sided Fisher exact per event;log2 estimate;label if adjustedP<0.05;stats::p.adjust default Holm;source y=-log10(rawP)	Rscripts/Fig2.R	Rscripts/Fig2.R:37 (run_Fig2)	Rscripts/Figures/Fig2d_related_raw_p.pdf	source code partially identified	High	High	same basename, different bytes	3914c7dd47f73f74c61ceca64efb0f4b37b073456490043374cb02ac5bb13dde	Recovered source runs and produces raw-P y-axis with Holm-adjusted significance labels. Embedded final uses adjusted-P y-axis and excludes self-SCNA entries; exact final generator not recovered. Related output is clearly named.	Source removes only Gene==chr22q, not chr22q_Clone/chr22q_Subclone; self-association entries may therefore be retained from final curated data. Source raw-P y-axis disagrees with manuscript FDR y-axis. Variable FDR uses default Holm, not BH. Exact source output can be replayed, but scientific fidelity to legend requires review. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 3	a	Fig. 3a	4	1303194	12921	tp_tumor_hetrogenerity_math_ccf2.pdf	bf539bd79b91790a151a6a0ec964fb299421da6a0799f072c8b6c026faf70753	entire imported object	TP_Comparision.R	2366-2410	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	wgsdata_tp.RData;DP_info_data.RData	wgsdata;DP_info_data;study_color2	dplyr;tidyr;ggplot2;ggbeeswarm;rstatix;ggpubr;scales;rlang;hrbrthemes;cowplot;Roboto Condensed;Sherlock_functions.R:163-474 plot_group_compare	Upstream DP_info_data assembly script not identified in biowulf	MATH_CCF=100*mad(CCF,na.rm=TRUE)/median(CCF,na.rm=TRUE);R mad default scaling1.4826;parallel MATH_VAF calculated but not used in export	Rscripts/Fig3.R	Rscripts/Fig3.R:8 (run_Fig3)		source code partially identified	High	Medium	no exact-basename file in biowulf			Exact final filename and ridgeline plot code absent; related historical export is box/point comparison. Manuscript describes VAF dispersion but historical plotted object is MATH_CCF. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 3	b	Fig. 3b	4	1305162	12946	tp_tumor_hetrogenerity_math_ccf_drivers_all.pdf	cda7250b7ee0f4ad033a94c92a4f719f3dac128555c6f7b59674426114ddbbd6	entire imported object	TP_Comparision.R	2366-2387;2461-2513	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	wgsdata_tp.RData;DP_info_data.RData;Genome_landscape_manual_final.RData	wgsdata;DP_info_data;data_top0	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed	Recalling.R:36-95;DP_info_data upstream assembly not identified	Related source uses MATH_CCF;alterations>10 observations;Wilcoxon;log2 median ratio;cohort-stratified Holm p.adjust	Rscripts/Fig3.R	Rscripts/Fig3.R:8 (run_Fig3)		source code partially identified	High	Medium	no exact-basename file in biowulf			Exact combined-cohort filename and generating code absent. Historical code is stratified by Study2 and uses raw-P y-axis; cannot relabel it as combined-FDR panel. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 3	c	Fig. 3c	4	1305537	12952	tp_tumor_hetrogenerity_math_ccf_drivers2_all.pdf	6ac06b654b9c04c049eae23ac437493597a5cdc94a38ad1d560ff9cb8cdd092b	entire imported object	TP_Comparision.R	2366-2387;2461-2490;2520-2534	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	wgsdata_tp.RData;DP_info_data.RData;Genome_landscape_manual_final.RData	wgsdata;DP_info_data;data_top0	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed	Recalling.R:36-95;DP_info_data upstream assembly not identified	Related historical code selects alterations with rawP<0.05 in any cohort;violin trimFALSE;box width0.1	Rscripts/Fig3.R	Rscripts/Fig3.R:8 (run_Fig3)		source code partially identified	High	Medium	no exact-basename file in biowulf			Exact combined-cohort filename and generating code absent. Current historical plot facets by Study2; manuscript panel combines cohorts. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 3	d	Fig. 3d	4	1285819	12575	NRPCC_threshold.pdf	5f88bb237f92568492a097674a11bd04e514724493f5424c8e53c624cd8d485b	entire imported object				Potential inputs only: ngspurity_data.RData;wgs_covdata_tp.RData;DP_info_data.RData	Potential objects: ngspurity;clone_data;wgs_covdata				Rscripts/Fig3.R	Rscripts/Fig3.R:8 (run_Fig3)		unresolved	High	Unresolved	no exact-basename file in biowulf		Input suggestions are conceptual candidates, not a recovered dependency graph. Do not invent NRPCC or minimum-detection methodology.	Input suggestions are conceptual candidates, not a recovered dependency graph. Do not invent NRPCC or minimum-detection methodology. No NRPCC, NRPCC_threshold, min_ccf, or minimum-CCF plotting logic found in any biowulf R/Rmd. Formula, threshold, cluster filtering and plotting code unverified. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 3	e	Fig. 3e	4	1285891	12583	drivers_number_subclones.pdf	ba02569e5a10be4ef00307b347ebfa15354d3703410c7e1c5284be71123afcea	entire imported object	TP_Comparision.R	2115-2152;2461-2465 related only	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	ngspurity_data.RData;wgsdata_tp.RData;Genome_landscape_manual_final.RData	clone_data;wgsdata;data_top0	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed	WGS_data_prepare.R:249-280;Recalling.R:36-95	Related code counts Clone!=Yes per tumor and fills missing count0;exports cohort distributions only	Rscripts/Fig3.R	Rscripts/Fig3.R:8 (run_Fig3)		source code partially identified	High	Medium	no exact-basename file in biowulf			Exact filename and driver-stratified subclone-count plotting logic absent. Manuscript >=50 mutation cluster threshold is not enforced in related count block. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 5	g	Fig. 5g	6	1310744	12638	TP_MRCA_drivergenes_association.pdf	a35662d209e4f1d1ed3e3f6d1841b029d46fc6791c6647d949987e29320d49ce	entire imported object	TP_Comparision.R	3495-3514	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	wgsdata_tp.RData;wgs_covdata_tp.RData;wgs_clinical.RData;Genome_landscape_manual_final.RData;thyroid_evolution_analysis/Chronological_timing_short.RData	wgsdata;wgs_covdata;wgs_clinical;data_top0;study_color2;MRCAdata	dplyr;tidyr;forcats;ggplot2;scales;broom;ggrepel;Roboto Condensed;functions/age_timing_helpers.R;functions/ptc_runtime.R	WGS_data_prepare.R:64-84 cohort;TP_Comparision.R:20-56 covariates;thyroid_evolution_analysis/MutationTime_Analysis_thyroid.R:1400-1470 MRCA intermediate	Exact filename recovered and local PDF equals Keynote original. Nearby latency model shares preparation, but no exact MRCA model/export found. No response-swapped speculative model supplied.	Rscripts/Fig5.R	Rscripts/Fig5.R:5 (run_Fig5)		source code partially identified	High	Medium	byte-identical	a35662d209e4f1d1ed3e3f6d1841b029d46fc6791c6647d949987e29320d49ce	Exact filename recovered and local PDF equals Keynote original. Nearby latency model shares preparation, but no exact MRCA model/export found. No response-swapped speculative model supplied.	Exact filename recovered and local PDF equals Keynote original. Nearby latency model shares preparation, but no exact MRCA model/export found. No response-swapped speculative model supplied. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
