figure_id	panel_id	manuscript_id	keynote_slide	keynote_object_id	keynote_data_id	original_plot_filename	embedded_sha256	plot_region	source_script	source_code_location	source_script_sha256	input_files	input_objects	dependencies	upstream_scripts	important_parameters	cleaned_script	cleaned_code_location	output_file	reproducibility_status	mapping_confidence	code_confidence	local_original_match	local_original_sha256	validation_notes	notes
Fig. 1	a	Fig. 1a	2	1293023	12737	study2_overview.pdf	d6bc533d53ae2e124b4ac9594c87f386cbe957129c63c680030dd25e26047ab1	entire imported object	TP_Comparision.R	60-90 age;97-117 sequencing depth;126-145 purity	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	wgsdata_tp.RData;wgs_clinical.RData;wgs_metrics.RData;ngspurity_data.RData	wgsdata;wgs_clinical;wgs_metrics;ngspurity;study_color2	dplyr;tidyr;ggplot2;ggbeeswarm;rstatix;ggpubr;scales;rlang;hrbrthemes;cowplot;Roboto Condensed;Sherlock_functions.R:163-474 plot_group_compare	WGS_data_prepare.R:64-84 cohort;131-146 coverage;249-280 purity;553-602 clinical	Study2 three cohorts;MEDIAN_COVERAGE;BB_Purity;BH-adjusted Wilcoxon via helper;helper seed=1	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1a_related_age.pdf;Rscripts/Figures/Fig1a_related_depth.pdf;Rscripts/Figures/Fig1a_related_purity.pdf	source code partially identified	High	Medium	no exact-basename file in biowulf		Related age/depth/purity source blocks ran. Final study2_overview.pdf generator not recovered; no final composite claim.	Exact Keynote filename from slide 2; component relationship follows manuscript legend, not an exact export match. No export or variable trace for study2_overview.pdf in any biowulf R/Rmd. Related component code contains both tumor and normal depth; final composite requires layout/cropping evidence. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	b	Fig. 1b	2	1283038	12463	intogene_drivers3.pdf	dd97d2640aa9b4bd22aedfb401d38c24cbcb678a86089357853811dae38868bc	entire imported object	Intogene_drivers.R	6;58-126;128	09542f0be755ac59d6ce70b7e9dbdaf11fa357e1918d41b3770bd68621ddd72c	intogene_drivers.RData;Genome_landscape_manual_final.RData;wgsdata_tp.RData;wgs_covdata_tp.RData	intogene;data_top0;wgsdata;wgs_covdata;study_color2	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed;ggtext	Intogene_drivers.R:6 external drivers.tsv import and 128 snapshot;Recalling.R:36-95 manually curated driver table;WGS_data_prepare.R:64-84	filter Type=Mutation_Driver;unique Tumor_Barcode/Gene;overall denominator nrow(wgsdata);cohort denominators count Study2;missing cohort gene frequency becomes zero	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1b.pdf	reproduced	High	High	byte-identical	dd97d2640aa9b4bd22aedfb401d38c24cbcb678a86089357853811dae38868bc	Exact IntOGen frequency method rerun from saved objects. All 57 colored cohort point centers match embedded PDF after common affine canvas transform, max residual <0.05 PDF points. Figure-only legend/style reconstructed explicitly; font and HTML gene labels visually checked.	Exact ggsave line126. Minimal replay should explicitly load wgs_covdata snapshot; do not need historical thyroid_maf_freq plots at12-52. Original drivers.tsv mounted source unavailable; saved intogene_drivers.RData contains intogene and can supply the same object. wgs_covdata is referenced but never explicitly loaded by this script. Full ancestry/QC derivation remains upstream. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	c	Fig. 1c	2	1283987	12498	ALL_Tumor_Recurrent_p1_combined.pdf	ea407d44a7079b006caa59773877354a05c67702d1be313c1351fde540890a75	entire imported object	Recurrent_SV_Plot.R	13-21;46-117;129	6b610e9e45f46a1d723a0506213b6de475b0697e3ba475d84008a43b15d88bef	wgsdata_tp.RData;1170_manta_meerkat_union_window50_highquality.txt;Homo_sapiens_assembly38.fasta.fai	wgsdata;study_color2;svdata;data1d	tidyverse;valr;ggsci;hrbrthemes;cowplot;ggrepel;grid;scales;Roboto Condensed	WGS_data_prepare.R:64-84;WGS_data_prepare.R:546-550	hg38 FAI;chr1-22/X/Y;5,000,000bp bins;both breakends;divide by cohort sample count;historical y limit0.5	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1c_related_TCGA_THCA.pdf;Rscripts/Figures/Fig1c_related_Chornobyl_Unexposed.pdf;Rscripts/Figures/Fig1c_related_Chornobyl_Exposed.pdf	source code partially identified	High	Medium	byte-identical	ea407d44a7079b006caa59773877354a05c67702d1be313c1351fde540890a75	Recovered per-cohort 5Mb breakpoint-density method ran. Final combined panel generator and hotspot annotations not recovered; historical y-limit0.5 retained and clipping warnings recorded.	"Dynamic exact per-cohort filename expression paste0(studyid,""_Recurrent_p1.pdf"") verified line129; no expression creates the final _combined file. Combined export and gene hotspot label code absent. Code fixes studyid=names(study_color2)[3]; historical per-cohort filenames require explicitly iterating cohort values. Combined manuscript panel cannot be claimed from absent assembly code. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF."
Fig. 1	d	Fig. 1d	2	1332655	12506	SV_circos_plot_thca.pdf	c1c437e7f52568cfb3c503fa28f45dadf0297dcde53bb5962f4c79fbb5c1b0be	entire imported object	Meerkat/SV_circosplot.R	4-21;23;28-40 (export 34, currently commented)	20f44c35e5ff380cdb3612e9d00dd11026cdb874d02cdb1a0c308e4db52bc659	svdata.RData;wgsdata_tp.RData	svdata;wgsdata	dplyr;circlize;scales;Roboto Condensed	WGS_data_prepare.R:64-84;546-550	Cohort=TCGA-THCA;hg38 ideogram;chr1-22/X only;1000bp link width;SV class colors;line width0.1	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1d.pdf	reproduced	High	High	byte-identical	c1c437e7f52568cfb3c503fa28f45dadf0297dcde53bb5962f4c79fbb5c1b0be	TCGA cohort filter and matched source export branch rerun. Links and chromosome layout visually correspond to embedded PDF. Local hg38 primary cytoband coordinates verified against FAI; canvas/type rendering differs.	Exact filename and matching cohort filter are in source, but neither is active in the saved script. Cohort selection and matching pdf export are commented. Sequential script emits all-cohort file only; explicit paired cohort/output parameterization required. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	e	Fig. 1e	2	1332654	12509	SV_circos_plot_unexposed.pdf	006a619a19938f9f0160426e5c2299124d470da42a3587a2e3e8ff808bab03b4	entire imported object	Meerkat/SV_circosplot.R	4-21;24;28-40 (export 35, currently commented)	20f44c35e5ff380cdb3612e9d00dd11026cdb874d02cdb1a0c308e4db52bc659	svdata.RData;wgsdata_tp.RData	svdata;wgsdata	dplyr;circlize;scales;Roboto Condensed	WGS_data_prepare.R:64-84;546-550	Cohort=Chornobyl-Unexposed;hg38 ideogram;chr1-22/X only;1000bp link width;SV class colors;line width0.1	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1e.pdf	reproduced	High	High	byte-identical	006a619a19938f9f0160426e5c2299124d470da42a3587a2e3e8ff808bab03b4	Unexposed cohort filter and matched source export branch rerun. Sparse link pattern corresponds to embedded panel; local hg38 references used. Explicit cohort parameter replaces commented interactive branch.	Exact filename and matching cohort filter are in source, but neither is active in the saved script. Cohort selection and matching pdf export are commented. Sequential script emits all-cohort file only; explicit paired cohort/output parameterization required. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	f	Fig. 1f	2	1332658	12512	SV_circos_plot_exposed.pdf	c83e8f954c3d6377734643d7ed0465f6f01d0be8a9057d9b5b01796c680c0980	entire imported object	Meerkat/SV_circosplot.R	4-21;25;28-40 (export 36, currently commented)	20f44c35e5ff380cdb3612e9d00dd11026cdb874d02cdb1a0c308e4db52bc659	svdata.RData;wgsdata_tp.RData	svdata;wgsdata	dplyr;circlize;scales;Roboto Condensed	WGS_data_prepare.R:64-84;546-550	Cohort=Chornobyl-Exposed;hg38 ideogram;chr1-22/X only;1000bp link width;SV class colors;line width0.1	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1f.pdf	reproduced	High	High	byte-identical	c83e8f954c3d6377734643d7ed0465f6f01d0be8a9057d9b5b01796c680c0980	Exposed cohort filter and matched source export branch rerun; link pattern and chromosome layout correspond. Explicit cohort parameter replaces commented interactive branch.	Exact filename and matching cohort filter are in source, but neither is active in the saved script. Cohort selection and matching pdf export are commented. Sequential script emits all-cohort file only; explicit paired cohort/output parameterization required. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	g	Fig. 1g	2	1284253	12524	Genome_landscape_tcga.pdf	482d6e76f5c86828276d575e34dfb2c3e609f6d9ba367b34501533a4fb730587	entire imported object	TP_Comparision.R	2777-2785;2846-2870;2872-2878;2895-2913	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	Genome_landscape_manual_final.RData;wgsdata_tp.RData;oncoplot_colors.csv	data_top0;data_tmb0;wgsdata;landscape_colors	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed;oncoplot_revised.R;Oncoplots_functions.R	Recalling.R:36-95;TP_Comparision.R:2769-2840 initial uncurated landscape;WGS_data_prepare.R:64-84	Cohort=TCGA-THCA;GeneSortOnly=TRUE;sample_name=FALSE;cell_height=1;manual data_top0 replaces preliminary calls;explicit cross-cohort geneorder	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1g.pdf	reproduced	High	High	byte-identical	482d6e76f5c86828276d575e34dfb2c3e609f6d9ba367b34501533a4fb730587	TCGA oncoprint and mutation-burden track regenerated from saved curated event table. Gene order, alteration patterns and printed frequencies visually match embedded PDF; larger canvas/Roboto Condensed type. Original multi-hit list-column behavior retained and warned.	Saved final RData includes data_tmb0, avoiding rebuild of mutation burdens from raw variants. Cohort legend order for g/h/i differs from d/e/f. All three if(TRUE) blocks execute, leaving only exposed state. Three successive save_plot calls overwrite same filename at different dimensions. Must select cohort intentionally and verify intended manuscript dimensions. Underlying manual curation cannot be reconstructed entirely from code alone. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	h	Fig. 1h	2	1284252	12521	Genome_landscape_exposed.pdf	e3decd7e7a232fe8c460642586be098e7dc06741dcca328b215b457f6936981b	entire imported object	TP_Comparision.R	2777-2785;2846-2870;2887-2893;2895-2913	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	Genome_landscape_manual_final.RData;wgsdata_tp.RData;oncoplot_colors.csv	data_top0;data_tmb0;wgsdata;landscape_colors	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed;oncoplot_revised.R;Oncoplots_functions.R	Recalling.R:36-95;TP_Comparision.R:2769-2840 initial uncurated landscape;WGS_data_prepare.R:64-84	Cohort=Chornobyl-Exposed;GeneSortOnly=TRUE;sample_name=FALSE;cell_height=1;manual data_top0 replaces preliminary calls;explicit cross-cohort geneorder	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1h.pdf	reproduced	High	High	byte-identical	e3decd7e7a232fe8c460642586be098e7dc06741dcca328b215b457f6936981b	Exposed oncoprint and burden track regenerated from saved curated event table; visible frequencies/order match embedded cohort panel. Explicit cohort parameter replaces three if(TRUE) overwrites.	Saved final RData includes data_tmb0, avoiding rebuild of mutation burdens from raw variants. Cohort legend order for g/h/i differs from d/e/f. All three if(TRUE) blocks execute, leaving only exposed state. Three successive save_plot calls overwrite same filename at different dimensions. Must select cohort intentionally and verify intended manuscript dimensions. Underlying manual curation cannot be reconstructed entirely from code alone. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 1	i	Fig. 1i	2	1284251	12527	Genome_landscape_chornobyl_unexposed.pdf	efca564b9884e219ba3f027a6bd684efa7dc6a5800faff8793fa1126031b2403	entire imported object	TP_Comparision.R	2777-2785;2846-2870;2879-2885;2895-2913	7d41dd36379eadad5d72914b967f21475005bdd3f36ce91b4543383b456595cf	Genome_landscape_manual_final.RData;wgsdata_tp.RData;oncoplot_colors.csv	data_top0;data_tmb0;wgsdata;landscape_colors	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed;oncoplot_revised.R;Oncoplots_functions.R	Recalling.R:36-95;TP_Comparision.R:2769-2840 initial uncurated landscape;WGS_data_prepare.R:64-84	Cohort=Chornobyl-Unexposed;GeneSortOnly=TRUE;sample_name=FALSE;cell_height=1;manual data_top0 replaces preliminary calls;explicit cross-cohort geneorder	Rscripts/Fig1.R	Rscripts/Fig1.R:4 (run_Fig1)	Rscripts/Figures/Fig1i.pdf	reproduced	High	High	byte-identical	efca564b9884e219ba3f027a6bd684efa7dc6a5800faff8793fa1126031b2403	Unexposed oncoprint and burden track regenerated; visible frequencies/order match embedded cohort panel. Larger canvas and readable type; exact final manual curation remains an input snapshot.	Saved final RData includes data_tmb0, avoiding rebuild of mutation burdens from raw variants. Cohort legend order for g/h/i differs from d/e/f. All three if(TRUE) blocks execute, leaving only exposed state. Three successive save_plot calls overwrite same filename at different dimensions. Must select cohort intentionally and verify intended manuscript dimensions. Underlying manual curation cannot be reconstructed entirely from code alone. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
Fig. 2	a	Fig. 2a	3	1283562	12483	TP_SCNA_Freq.pdf	5c2c92c1ba4c6f4c4eee7f19997b521b15d1cc38b6131c2ee024d6924b31c148	entire imported object	TP_bb_heatmap_freq.R	21-335 (active CN state55;both plot assignments331-333)	e1a55e687590cbe1b3ed0ff6416a02948d02555b5892924f26fa863da3072f04	wgsdata_tp.RData;ngspurity_data.RData;cytoBand.txt.gz	wgsdata;ngspurity;BBprofile	dplyr;tidyr;forcats;ggplot2;scales;ggsci;cowplot;hrbrthemes;broom;purrr;ggrepel;Roboto Condensed;CNTools;valr;conflicted	WGS_data_prepare.R:249-280 Battenberg/NGSpurity consolidation	autosomes;1Mb bins;clone/subclone determined by larger/smaller frac_A;baseline2 or4 for WGD;relative-copy cap±4;amplification>=4;homozygous deletion sentinel-4;CNTools mean over bins;exclude chr21 frequencies>|0.05|	Rscripts/Fig2.R	Rscripts/Fig2.R:37 (run_Fig2)	Rscripts/Figures/Fig2a_state_reconstruction.pdf	source code partially identified	High	High	same basename, different bytes	96d0f40b98a7bf5d28e21bec566a02e804e635693a76ce609e0282d40a4be0a3	Explicit clone/subclone state reconstruction ran and major chromosome frequency pattern corresponds. Saved source assigned same plot to both rows; final Illustrator-edited output differs, so final generator not verified. Original chr21 exclusion and CN bin rules retained.	Do not silently repair two-state methodology. Record chr21 frequency filtering (306-308) and centromere treatment (224-234) as original scientific decisions. Saved script assigns p_freq_clone<-p_freq and p_freq_subclone<-p_freq without recomputing state, producing identical rows in sequential replay. Clone/subclone switch appears only as commented line56. Reproduction of manuscript two-state panel blocked until historical execution state recovered. Imported original PDF filename recovered verbatim from Metadata.iwa preferred_file_name; visible label and plot content confirmed in native Keynote PDF.
